Metadata_cluster_family,Unique_Clusters
DMSO-failing,11
DMSO-healthy,5
UCD-0000450,2
UCD-0000721,1
UCD-0001014,1
UCD-0001016,2
UCD-0001024,1
UCD-0001040,4
UCD-0001613,3
UCD-0001766,2
UCD-0001775,2
UCD-0001783,1
UCD-0001792,1
UCD-0001801,2
UCD-0001804,3
UCD-0001808,2
UCD-0001810,3
UCD-0001829,4
UCD-0001835,4
UCD-0001842,6
UCD-0001844,2
UCD-0001915,4
UCD-0001921,2
UCD-0017999,5
UCD-0018091,1
UCD-0018131,6
UCD-0018179,2
UCD-0018207,4
UCD-0159256,4
UCD-0159257,6
UCD-0159258,5
UCD-0159259,4
UCD-0159261,2
UCD-0159262,2
UCD-0159263,5
UCD-0159264,1
UCD-0159265,5
UCD-0159269,3
UCD-0159270,3
UCD-0159271,2
UCD-0159273,2
UCD-0159274,4
UCD-0159275,4
UCD-0159279,2
UCD-0159280,4
UCD-0159283,4
UCD-0159284,6
UCD-0159285,4
UCD-0159286,2
UCD-0159289,2
UCD-0159290,1
UCD-0159293,3
